Experiment,Vertexes,Density,Time(mcs)
1,20,0.5,413.42
2,20,0.5,396.01
3,20,0.5,471.59
4,20,0.5,417.95
5,20,0.5,416.99
6,20,0.5,457.29
7,20,0.5,433.92
8,20,0.5,497.1
9,20,0.5,420.81
10,20,0.5,507.35
11,20,0.5,451.33
12,20,0.5,655.17
13,20,0.5,681.4
14,20,0.5,571.01
15,20,0.5,482.56
16,20,0.5,456.09
17,20,0.5,490.9
18,20,0.5,477.55
19,20,0.5,478.51
20,20,0.5,487.33
21,40,0.5,3283.26
22,40,0.5,3885.75
23,40,0.5,3474.0
24,40,0.5,3384.83
25,40,0.5,3241.06
26,40,0.5,3436.57
27,40,0.5,3199.58
28,40,0.5,3225.8
29,40,0.5,3146.17
30,40,0.5,3110.17
31,40,0.5,3128.29
32,40,0.5,3452.06
33,40,0.5,3321.89
34,40,0.5,3122.09
35,40,0.5,3509.52
36,40,0.5,3113.75
37,40,0.5,3374.34
38,40,0.5,3096.1
39,40,0.5,3871.44
40,40,0.5,3356.46
41,60,0.5,11678.93
42,60,0.5,11706.11
43,60,0.5,11387.59
44,60,0.5,10547.16
45,60,0.5,10558.84
46,60,0.5,10944.37
47,60,0.5,10437.01
48,60,0.5,10384.56
49,60,0.5,11410.95
50,60,0.5,10905.74
51,60,0.5,11061.43
52,60,0.5,10443.21
53,60,0.5,10360.48
54,60,0.5,10379.08
55,60,0.5,11237.62
56,60,0.5,11358.74
57,60,0.5,11490.82
58,60,0.5,11857.99
59,60,0.5,10879.04
60,60,0.5,10884.76
61,80,0.5,27258.87
62,80,0.5,27371.41
63,80,0.5,27320.15
64,80,0.5,26378.87
65,80,0.5,28354.17
66,80,0.5,26724.82
67,80,0.5,25070.91
68,80,0.5,25366.07
69,80,0.5,26374.58
70,80,0.5,27135.13
71,80,0.5,27176.14
72,80,0.5,27503.25
73,80,0.5,26911.02
74,80,0.5,25785.92
75,80,0.5,26803.49
76,80,0.5,27890.44
77,80,0.5,27794.12
78,80,0.5,24816.27
79,80,0.5,33439.87
80,80,0.5,26559.35
81,100,0.5,53440.57
82,100,0.5,51897.53
83,100,0.5,52799.22
84,100,0.5,52134.28
85,100,0.5,55429.7
86,100,0.5,51698.45
87,100,0.5,53272.25
88,100,0.5,51772.36
89,100,0.5,51296.23
90,100,0.5,51106.21
91,100,0.5,50673.48
92,100,0.5,50975.32
93,100,0.5,53580.52
94,100,0.5,52302.6
95,100,0.5,53177.6
96,100,0.5,53381.2
97,100,0.5,51948.31
98,100,0.5,53753.14
99,100,0.5,50299.41
100,100,0.5,55530.79
101,120,0.5,90906.14
102,120,0.5,91620.21
103,120,0.5,88836.91
104,120,0.5,89819.91
105,120,0.5,101773.98
106,120,0.5,91253.04
107,120,0.5,87699.17
108,120,0.5,89017.39
109,120,0.5,91008.9
110,120,0.5,89632.99
111,120,0.5,89653.25
112,120,0.5,88710.07
113,120,0.5,88074.45
114,120,0.5,94794.03
115,120,0.5,88258.5
116,120,0.5,90311.53
117,120,0.5,84796.43
118,120,0.5,89434.39
119,120,0.5,95688.82
120,120,0.5,90406.66
121,140,0.5,143677.95
122,140,0.5,146003.96
123,140,0.5,142779.35
124,140,0.5,134555.34
125,140,0.5,144135.24
126,140,0.5,144581.32
127,140,0.5,146447.66
128,140,0.5,139855.86
129,140,0.5,146974.33
130,140,0.5,140202.05
131,140,0.5,140574.69
132,140,0.5,146022.56
133,140,0.5,139330.15
134,140,0.5,142790.08
135,140,0.5,140797.62
136,140,0.5,142551.18
137,140,0.5,144793.51
138,140,0.5,144238.95
139,140,0.5,144501.92
140,140,0.5,139017.11
141,160,0.5,213981.15
142,160,0.5,213791.37
143,160,0.5,204886.67
144,160,0.5,206559.42
145,160,0.5,209894.18
146,160,0.5,209022.28
147,160,0.5,210936.31
148,160,0.5,213934.9
149,160,0.5,207508.8
150,160,0.5,216819.05
151,160,0.5,210762.74
152,160,0.5,213400.6
153,160,0.5,211616.04
154,160,0.5,213334.32
155,160,0.5,212243.8
156,160,0.5,213321.69
157,160,0.5,217846.16
158,160,0.5,211878.78
159,160,0.5,218048.57
160,160,0.5,211050.51
161,180,0.5,307150.13
162,180,0.5,303149.7
163,180,0.5,304514.88
164,180,0.5,304457.9
165,180,0.5,300897.6
166,180,0.5,306621.07
167,180,0.5,308984.52
168,180,0.5,300279.62
169,180,0.5,310500.38
170,180,0.5,306215.76
171,180,0.5,302546.98
172,180,0.5,302904.84
173,180,0.5,311929.23
174,180,0.5,307962.89
175,180,0.5,302519.08
176,180,0.5,306615.83
177,180,0.5,307795.29
178,180,0.5,299365.76
179,180,0.5,332425.83
180,180,0.5,325721.26
181,200,0.5,408995.39
182,200,0.5,408960.1
183,200,0.5,414693.83
184,200,0.5,424818.52
185,200,0.5,411406.28
186,200,0.5,421355.25
187,200,0.5,406922.1
188,200,0.5,419155.6
189,200,0.5,420830.25
190,200,0.5,410083.53
191,200,0.5,422442.44
192,200,0.5,417055.85
193,200,0.5,427285.19
194,200,0.5,412599.09
195,200,0.5,414900.3
196,200,0.5,421772.48
197,200,0.5,476209.64
198,200,0.5,406791.93
199,200,0.5,415733.58
200,200,0.5,415603.4
