Experiment,Vertexes,Density,Time(mcs)
1,200,0.1,403586.39
2,200,0.1,404495.48
3,200,0.1,398684.02
4,200,0.1,393584.97
5,200,0.1,375570.3
6,200,0.1,413634.78
7,200,0.1,399924.28
8,200,0.1,395707.61
9,200,0.1,401498.32
10,200,0.1,397966.15
11,200,0.1,412135.84
12,200,0.1,395892.38
13,200,0.1,405475.62
14,200,0.1,402227.16
15,200,0.1,390232.8
16,200,0.1,414057.97
17,200,0.1,389365.43
18,200,0.1,400141.48
19,200,0.1,397238.25
20,200,0.1,390691.04
21,200,0.15,418272.02
22,200,0.15,400804.52
23,200,0.15,411155.94
24,200,0.15,402067.42
25,200,0.15,402059.79
26,200,0.15,405073.64
27,200,0.15,396658.18
28,200,0.15,403046.13
29,200,0.15,406253.81
30,200,0.15,404512.17
31,200,0.15,406626.46
32,200,0.15,400946.62
33,200,0.15,406582.12
34,200,0.15,403291.46
35,200,0.15,417923.93
36,200,0.15,400041.1
37,200,0.15,410357.0
38,200,0.15,402024.98
39,200,0.15,402677.54
40,200,0.15,407147.88
41,200,0.2,404692.89
42,200,0.2,410472.87
43,200,0.2,409055.47
44,200,0.2,409876.35
45,200,0.2,426239.49
46,200,0.2,405130.62
47,200,0.2,397605.18
48,200,0.2,406663.66
49,200,0.2,420297.38
50,200,0.2,409112.93
51,200,0.2,404531.48
52,200,0.2,407787.8
53,200,0.2,415145.16
54,200,0.2,398961.31
55,200,0.2,407468.8
56,200,0.2,411778.69
57,200,0.2,416030.17
58,200,0.2,420981.41
59,200,0.2,404845.24
60,200,0.2,398296.59
61,200,0.25,447725.3
62,200,0.25,410707.24
63,200,0.25,417387.96
64,200,0.25,407261.61
65,200,0.25,401519.3
66,200,0.25,398686.65
67,200,0.25,431918.14
68,200,0.25,415278.91
69,200,0.25,408720.02
70,200,0.25,407356.98
71,200,0.25,410211.09
72,200,0.25,429898.5
73,200,0.25,414373.87
74,200,0.25,408270.36
75,200,0.25,401070.36
76,200,0.25,434153.56
77,200,0.25,412450.55
78,200,0.25,414365.29
79,200,0.25,412189.01
80,200,0.25,414358.38
81,200,0.3,411144.26
82,200,0.3,420934.44
83,200,0.3,411709.07
84,200,0.3,409465.07
85,200,0.3,425851.58
86,200,0.3,410675.53
87,200,0.3,409950.97
88,200,0.3,406322.0
89,200,0.3,418463.23
90,200,0.3,405566.45
91,200,0.3,409387.11
92,200,0.3,415875.43
93,200,0.3,402286.77
94,200,0.3,414066.55
95,200,0.3,417069.2
96,200,0.3,418172.36
97,200,0.3,406564.95
98,200,0.3,407093.76
99,200,0.3,425537.59
100,200,0.3,400764.23
101,200,0.35,439625.02
102,200,0.35,419379.47
103,200,0.35,413877.25
104,200,0.35,409615.76
105,200,0.35,413642.41
106,200,0.35,414673.57
107,200,0.35,412549.97
108,200,0.35,425810.34
109,200,0.35,415724.04
110,200,0.35,416549.68
111,200,0.35,413838.39
112,200,0.35,418843.98
113,200,0.35,418509.01
114,200,0.35,413431.41
115,200,0.35,419469.36
116,200,0.35,413707.26
117,200,0.35,425282.72
118,200,0.35,404916.05
119,200,0.35,413061.86
120,200,0.35,402796.03
121,200,0.4,413567.54
122,200,0.4,425957.2
123,200,0.4,403574.47
124,200,0.4,418938.4
125,200,0.4,413358.93
126,200,0.4,432251.93
127,200,0.4,416142.7
128,200,0.4,418380.5
129,200,0.4,420271.64
130,200,0.4,416282.65
131,200,0.4,416604.52
132,200,0.4,417158.37
133,200,0.4,418023.11
134,200,0.4,406613.35
135,200,0.4,456774.23
136,200,0.4,440522.67
137,200,0.4,437885.76
138,200,0.4,428838.97
139,200,0.4,415051.22
140,200,0.4,420990.23
141,200,0.45,408631.8
142,200,0.45,411938.43
143,200,0.45,462357.04
144,200,0.45,480996.85
145,200,0.45,438013.32
146,200,0.45,418336.15
147,200,0.45,478055.95
148,200,0.45,446478.13
149,200,0.45,457248.93
150,200,0.45,462870.36
151,200,0.45,431248.66
152,200,0.45,436036.35
153,200,0.45,476114.51
154,200,0.45,469270.94
155,200,0.45,425816.3
156,200,0.45,422255.52
157,200,0.45,515508.41
158,200,0.45,586375.95
159,200,0.45,519779.68
160,200,0.45,465696.57
161,200,0.5,434094.91
162,200,0.5,479106.66
163,200,0.5,488877.53
164,200,0.5,474204.54
165,200,0.5,426424.5
166,200,0.5,413324.12
167,200,0.5,401893.85
168,200,0.5,415955.54
169,200,0.5,420181.51
170,200,0.5,425005.91
171,200,0.5,423470.97
172,200,0.5,432364.7
173,200,0.5,438177.11
174,200,0.5,417453.05
175,200,0.5,416612.15
176,200,0.5,417747.5
177,200,0.5,416828.87
178,200,0.5,422714.23
179,200,0.5,418684.24
180,200,0.5,424919.13
